date,description,montant,categorie
2026-01-01,La Fontaine,13.16,Restaurant
2026-01-01,Carrefour Market,5.50,Courses
2026-01-01,Amazon Prime,23.62,Abonnements
2026-01-01,Brasserie du Nord,23.58,Restaurant
2026-01-01,BlaBlaCar,11.26,Transport
2026-01-01,Pharmacie du Centre,21.39,Sante
2026-01-01,O Tacos,12.47,Restaurant
2026-01-02,Franprix,9.74,Courses
2026-01-02,La Fontaine,18.82,Restaurant
2026-01-02,Boulangerie Saint-Michel,10.01,Courses
2026-01-02,Marche Bastille,14.62,Courses
2026-01-02,Marche Bastille,9.35,Courses
2026-01-03,Leclerc Drive,16.76,Courses
2026-01-03,Engie Gaz,46.79,Logement
2026-01-03,Naturalia,4.07,Courses
2026-01-03,Amazon Prime,13.95,Abonnements
2026-01-03,Pharmacie du Centre,27.45,Sante
2026-01-03,RATP Navigo,11.53,Transport
2026-01-03,Cafe de la Gare,21.20,Restaurant
2026-01-03,Loyer Janvier,1250.00,Logement
2026-01-03,Charges Copropriete,38.37,Logement
2026-01-04,Paul,13.14,Restaurant
2026-01-04,Boucherie Fontaine,22.85,Courses
2026-01-04,Le Bouillon,21.18,Restaurant
2026-01-04,Naturalia,10.10,Courses
2026-01-04,Trainline,19.17,Transport
2026-01-04,Le Petit Bistrot,12.59,Restaurant
2026-01-04,Naturalia,14.24,Courses
2026-01-04,BlaBlaCar,2.36,Transport
2026-01-04,Carrefour Market,22.59,Courses
2026-01-05,Sushi Yaki,24.86,Restaurant
2026-01-05,Le Bouillon,23.11,Restaurant
2026-01-05,Pizzeria Napoli,14.11,Restaurant
2026-01-05,Intermarche,11.13,Courses
2026-01-05,Lidl,11.67,Courses
2026-01-06,Librairie Mollat,5.86,Loisirs
2026-01-06,Picard,14.08,Courses
2026-01-06,Chez Mamou,13.73,Restaurant
2026-01-06,Station Esso,9.13,Transport
2026-01-06,Laboratoire Cerba,40.25,Sante
2026-01-06,SNCF Connect,22.67,Transport
2026-01-06,Spotify,22.69,Abonnements
2026-01-06,Le Bouillon,19.14,Restaurant
2026-01-07,Decathlon,26.16,Loisirs
2026-01-07,Lidl,3.73,Courses
2026-01-07,Theatre du Rond-Point,9.47,Loisirs
2026-01-08,FNAC,23.87,Loisirs
2026-01-08,Nicolas,15.30,Courses
2026-01-08,Amazon Prime,9.84,Abonnements
2026-01-08,Engie Gaz,40.86,Logement
2026-01-08,Station Esso,10.76,Transport
2026-01-08,Lidl,3.47,Courses
2026-01-08,Nicolas,20.06,Courses
2026-01-08,Amazon Prime,9.12,Abonnements
